CourseCategory,InstRating,Lectures,Duration,AvgRating,LastUpdated,Fee,Discount,cbrt_NumberRatings,cbrt_Enrollment,cbrt_Student,cbrt_Review
business,4.5,286.0,9.8,4.6,6.0,19.99,88.0,27.951019811463162,48.974580734969635,74.04197764395026,44.79162922898139
programming,4.2,66.0,4.966666666666667,4.2,6.0,16.99,88.0,11.416534946769723,20.853094139468666,31.85316844172901,17.819177244251172
it_software,4.5,251.0,93.15,4.4,8.0,17.99,89.0,19.00461568378861,31.40975260639261,72.23284954286748,36.717596810018364
it_software,4.7,26.0,2.05,4.7,6.0,16.99,80.0,16.913050852924943,25.146868825641153,35.7406776351155,24.54648954358737
personal_development,4.4,82.0,11.066666666666666,4.4,9.0,16.99,83.0,8.946180865879619,17.9401303066522,41.425278035008475,25.02770262457834
programming,4.5,118.0,10.1,4.6,6.0,21.99,92.0,9.94637966653718,15.461228105031841,20.290752661661976,12.023103638093588
programming,4.5,504.0,99.36666666666666,4.6,6.0,23.99,77.0,17.324782106818056,28.69963456660561,37.513891149953,17.949446630106138
programming,4.5,246.0,32.5,4.4,8.0,20.99,88.0,22.569824242567748,40.40790944052139,78.7948530913009,36.73761286748416
it_software,4.6,8.0,2.65,4.5,6.0,9.3018,90.0,12.260507436149457,18.07173023528025,20.329540335822635,13.572088082974533
personal_development,4.7,251.0,31.716666666666665,4.7,7.0,27.99,87.0,11.904331920977695,27.456349483346752,50.03144688438951,31.81336674199124
lifestyle,4.4,80.0,9.2,4.3,6.0,16.99,89.0,6.390676528399307,9.213025029190486,13.59016012573747,8.832284990891335
business,4.4,52.0,5.2,4.5,6.0,16.99,92.0,12.758868621497072,22.506171146771322,44.970680489655365,19.95991973226195
lifestyle,4.5,119.0,18.23333333333333,4.7,7.0,23.99,83.0,5.87713065921074,12.518904727821095,28.73479977849272,7.465022313634496
personal_development,4.4,110.0,8.383333333333333,4.5,13.0,16.99,83.0,14.16638215499356,34.74729547814698,40.0790104974416,20.656544933737216
it_software,4.6,122.0,6.433333333333334,4.6,7.0,9.8494,89.0,11.857101383012346,21.910101467834345,53.52661208426554,28.49050673865748
programming,4.6,171.0,16.6,4.6,8.0,9.8494,92.0,15.155421094002051,23.70530838263619,35.972715952425816,23.638684997039803
programming,4.1,42.0,5.4,4.3,9.0,16.99,51.0,9.4615249029094,16.699446597412148,41.506893904813445,14.800316525979412
personal_development,4.6,19.0,4.9,4.6,11.0,27.99,76.0,17.9535841157895,36.130442421848684,68.50531864149582,37.83585709432775
business,4.5,52.0,9.4,4.5,6.0,19.99,81.0,15.12634029513299,25.226213589315137,105.12664989589508,69.75732292089708
business,4.5,81.0,8.266666666666667,4.7,8.0,16.99,81.0,9.799333565676578,17.6281745702656,116.31730407156998,77.35402282010756
it_software,4.2,24.0,1.1666666666666667,4.1,6.0,10.9446,88.0,7.126935967201602,13.09010382485845,40.51947445271874,19.585641295313785
programming,4.6,65.0,9.95,4.5,6.0,24.99,92.0,18.544087691835365,31.38811401863088,65.84175433947826,48.599399361462574
personal_development,4.5,52.0,4.566666666666666,4.4,9.0,16.99,73.0,25.082924636066203,38.06567589977012,71.63875122147209,37.292063948550314
programming,4.4,48.0,6.25,3.9,6.0,16.99,85.0,7.299893662052677,13.892026550371671,32.02016957612691,19.773272784286704
it_software,4.4,134.0,20.216666666666665,4.5,6.0,23.99,88.0,10.105548694417122,18.672121421734563,31.251509260440415,11.868944280799884
business,3.9,9.0,30.0,4.3,8.0,17.99,88.0,8.874809888144785,19.834467055373835,52.77703891445369,17.605619761866734
programming,4.5,50.0,3.7666666666666666,4.5,7.0,16.99,86.0,11.339289449053858,22.054959009282662,67.249312467923,38.537378664253964
business,4.5,14.0,1.9166666666666663,4.6,8.0,16.99,90.0,17.856889901178665,35.1049908623547,59.95422434463022,28.34231164906047
