Age,Gender,Course,InternetAccess,SleepQuality,StudyMethod,FacilityRating,ExamDifficulty,Grade,StudyLevel,SleepLevel,AttendanceLevel
17,male,diploma,yes,poor,coaching,low,hard,D,medium,good,high
23,other,bca,yes,average,online,medium,moderate,D,medium,bad,medium
22,male,bsc,yes,poor,coaching,high,moderate,A,high,good,medium
20,other,diploma,yes,average,online,low,moderate,F,low,regular,low
20,female,diploma,yes,poor,coaching,low,moderate,F,low,good,medium
23,male,btech,yes,good,mixed,low,moderate,D,medium,bad,medium
17,female,btech,yes,average,online,high,hard,D,low,good,medium
22,male,bsc,yes,poor,selfstudy,low,moderate,F,high,good,low
18,other,bca,yes,poor,selfstudy,low,easy,F,medium,regular,high
17,male,bba,yes,average,groupstudy,high,moderate,B,high,good,low
21,female,ba,yes,average,selfstudy,medium,easy,C,high,regular,high
24,male,bcom,no,poor,online,medium,easy,D,medium,bad,high
22,female,ba,yes,good,selfstudy,medium,hard,C,high,good,low
23,female,bba,yes,poor,online,medium,moderate,F,low,good,medium
22,male,btech,yes,good,groupstudy,high,moderate,A,medium,good,medium
23,other,bba,yes,average,coaching,high,moderate,A,medium,good,high
21,male,bsc,yes,average,selfstudy,medium,moderate,B,low,good,high
18,male,bca,yes,poor,selfstudy,medium,moderate,F,low,regular,medium
23,female,bsc,yes,average,mixed,low,moderate,D,medium,bad,high
20,male,btech,yes,poor,coaching,high,moderate,F,medium,bad,low
21,female,ba,yes,poor,coaching,medium,easy,C,high,bad,medium
19,other,ba,yes,good,mixed,low,easy,D,low,good,medium
18,male,ba,yes,average,groupstudy,medium,easy,F,low,good,high
24,female,diploma,yes,good,selfstudy,low,easy,A,high,regular,low
23,male,bba,yes,average,coaching,low,moderate,C,low,good,high
22,male,bcom,yes,good,groupstudy,low,moderate,B,high,bad,low
20,male,bca,no,average,selfstudy,low,easy,B,high,good,low
23,male,ba,yes,poor,mixed,high,hard,B,high,regular,high
21,female,bsc,yes,good,online,medium,moderate,D,medium,good,medium
20,other,btech,yes,good,groupstudy,medium,moderate,F,high,bad,medium
20,other,btech,yes,poor,mixed,high,easy,A,high,regular,high
18,male,bsc,yes,good,selfstudy,high,easy,A,high,regular,medium
17,other,bca,yes,good,selfstudy,high,moderate,C,high,bad,low
21,female,ba,no,poor,online,high,hard,B,medium,regular,medium
24,female,ba,yes,good,groupstudy,high,easy,C,low,bad,high
17,other,bcom,yes,average,online,high,moderate,A,high,regular,low
23,female,bsc,no,average,online,medium,hard,F,low,regular,low
23,male,bca,yes,poor,groupstudy,low,hard,D,medium,regular,high
19,female,btech,yes,average,coaching,high,easy,D,medium,regular,medium
22,other,bba,yes,average,online,low,easy,C,high,good,medium
18,other,diploma,yes,average,mixed,medium,moderate,C,high,good,medium
23,male,diploma,yes,poor,coaching,high,hard,A,high,regular,high
22,other,bcom,yes,good,online,high,easy,F,low,regular,low
19,male,bca,yes,poor,groupstudy,medium,moderate,F,low,good,low
17,other,bsc,yes,average,groupstudy,medium,moderate,F,low,regular,medium
24,male,bsc,yes,good,coaching,high,easy,A,high,good,medium
20,male,bcom,yes,good,groupstudy,high,easy,D,low,regular,low
24,other,btech,yes,good,online,high,moderate,B,high,bad,medium
22,female,bsc,yes,poor,mixed,high,moderate,F,low,regular,medium
23,male,bca,yes,poor,mixed,low,moderate,B,high,regular,medium
23,male,bca,yes,poor,mixed,low,easy,B,medium,good,medium
18,male,bcom,yes,good,groupstudy,low,hard,A,high,good,low
19,male,bcom,yes,good,groupstudy,low,moderate,B,high,regular,low
20,other,bcom,yes,poor,selfstudy,high,moderate,B,high,good,high
20,male,btech,no,average,online,low,moderate,C,high,regular,medium
17,male,bsc,yes,good,mixed,high,easy,F,medium,regular,medium
21,other,diploma,yes,poor,groupstudy,low,hard,B,high,regular,medium
18,other,bba,yes,average,mixed,medium,moderate,B,high,good,medium
22,male,bba,no,average,mixed,high,moderate,C,low,good,high
22,female,bsc,no,good,selfstudy,medium,moderate,B,medium,regular,high
24,female,bca,yes,average,online,medium,moderate,D,medium,bad,low
22,female,bsc,yes,average,mixed,medium,moderate,B,high,regular,low
19,male,diploma,yes,good,selfstudy,low,easy,C,high,regular,low
24,other,ba,yes,average,online,high,moderate,F,medium,good,low
20,other,bcom,yes,good,selfstudy,low,hard,B,high,good,medium
19,other,bca,yes,poor,mixed,low,moderate,F,low,good,low
24,other,bcom,yes,average,mixed,low,moderate,D,medium,regular,high
19,male,bsc,yes,good,selfstudy,high,moderate,C,high,good,medium
17,female,bba,yes,average,online,medium,moderate,F,low,good,low
20,other,bca,yes,good,mixed,low,easy,D,medium,good,low
23,female,bba,no,good,coaching,high,easy,F,low,regular,low
18,other,ba,yes,poor,selfstudy,high,moderate,F,low,good,medium
20,female,bcom,no,good,online,high,easy,F,low,good,medium
18,other,bcom,yes,poor,selfstudy,medium,hard,F,low,good,medium
22,other,diploma,yes,average,mixed,high,moderate,D,medium,regular,low
20,female,bcom,yes,poor,mixed,low,moderate,B,high,regular,high
19,other,diploma,yes,poor,mixed,low,moderate,F,low,good,medium
18,female,bsc,yes,poor,online,low,hard,B,high,good,medium
21,male,bsc,yes,average,online,high,moderate,D,high,good,medium
22,female,bcom,yes,poor,coaching,medium,moderate,F,low,regular,low
24,other,btech,yes,good,selfstudy,medium,moderate,D,medium,good,high
20,male,diploma,yes,good,mixed,high,moderate,B,low,good,medium
18,male,bcom,no,average,groupstudy,low,hard,D,high,regular,low
23,female,btech,yes,average,mixed,high,moderate,D,high,bad,low
22,female,bba,yes,good,groupstudy,medium,easy,D,medium,regular,medium
22,female,diploma,yes,average,selfstudy,low,moderate,F,low,regular,medium
17,female,diploma,yes,poor,groupstudy,high,moderate,F,low,regular,high
19,female,btech,yes,average,selfstudy,high,easy,C,high,bad,medium
23,male,bca,yes,good,online,low,moderate,D,low,regular,high
23,male,bcom,yes,good,coaching,high,easy,B,medium,good,low
